tweet-id,username,date,text,like-count
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar5nuzoy425,fvca.bsky.social,2022-09-17,"In #Coquitlam, on the topic of stopping #ClimateChange, when asked ""Should the city prioritize money for climate change  by making climate change mitigation and adaptation measures a priority in the budget by allocating funding to these projects ?""",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar72rwfig2q,fvca.bsky.social,2022-09-17,"#mission council candidates were asked: ""How much city budget money would you allocate to fight climate change? How would you find the money? (please do better than suggesting that we raise taxes)""",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar4mxtwtk25,fvca.bsky.social,2022-09-22,#PortCoquitlam see what your candidates had to say about #climateChange https://fvclimateaction.org/port-coquitlam-municipal-council-election-2022-climate-change-questionnaire/,0
at://did:plc:whh5vwptmzunfo5nq3nedrfe/app.bsky.feed.post/3lb3pif3ez52z,ajpennyfarthing.bsky.social,2022-08-08,"Exposure to air/water/environmental pollutants can trigger or worsen illnesses like asthma, thyroid, lupus, fibromyalgia, Sjogren's, cancers, migraines, etc. We must change.🌊Climate change can make most human diseases worse",0
at://did:plc:gfibm2bmf74mzxyutmsj7ymu/app.bsky.feed.post/3lb2oyiic272h,dukesjeff.bsky.social,2022-08-25,https://www.science.org/content/article/scientists-exposed-plants-yearlong-drought-result-worrying-climate-change#.YwgKlme4a0s.twitter,0
at://did:plc:eughxnzewq62u6ysoskul3ah/app.bsky.feed.post/3lb7gvtrydy2t,nicolelazzaro.bsky.social,2022-10-31,Doesn’t anyone remember the B Arc? Humanity’s best hope is addressing climate change and inequalities right here on earth.,0
at://did:plc:zvxmk5palgax6he7gpy4tceo/app.bsky.feed.post/3lb7avw5xug2g,mcslimjb.bsky.social,2022-09-30,"Climate Change cocktail: Plantation rum, Campari, pineapple juice and molasses at Eventide Oyster Co., Old Port, Portland, ME, USA. @eventideoysterco @ Eventide Oyster Co.",0
at://did:plc:mizcwiuemxjr7u5g7oubhciq/app.bsky.feed.post/3lb6twafofb2e,andrewrumbach.bsky.social,2022-09-15,"Seed grant opportunity for early career researchers, including full-time (tt and non-tt) and adjunct faculty. Many different areas of interest including economic mobility, housing, disasters and climate change. Thanks to @mc_lens for the notice....",0
at://did:plc:cxtnfrhcygnjelkeu5px3vbm/app.bsky.feed.post/3lba6dghfy42x,jmcrookston.bsky.social,2022-09-03,"I know everyone is focussed on viruses rn but if climate change pushes funguses to adapt to grow at higher than 37 we're all in big trouble.  Anyway, happy weekend!",0
at://did:plc:lvetja7ntlaodeofnhex2ozq/app.bsky.feed.post/3lbadand7sv2x,curdknupfer.bsky.social,2022-10-18,I'm co-teaching a graduate class this winter term on content analysis and climate communication. We'll be delving into MaxQDA and R.  I'm still looking for climate change/crisis-related databases or corpora for the students to use. Anyone got any leads?,0
at://did:plc:jdf77y6r3buk33apwgtkz6nf/app.bsky.feed.post/3latcmxokkw2x,uscocksman.bsky.social,2022-10-15,"anyway i hope vincent van gogh is able to set his emotions aside, reflect on this criticism and stop being the world’s leading contributor to climate change",0
at://did:plc:wznrpi4wyqhcv5onowp3lmcs/app.bsky.feed.post/3lb4jf55ozu22,drjeffmasters.bsky.social,2022-09-28,"Sea level rise since 1965 at the Fort Myers, FL, tide gauge has been about 0.63 feet, or about 1.11 feet per 100 years. Sea level rise has been accelerating due to human-caused climate change, substantially increasing storm surge risk.",0
at://did:plc:kynaetyuzsp46xejc6mzpjle/app.bsky.feed.post/3lb4ivfkr6i2l,alexh.bsky.social,2022-09-15,year — combat climate change and protect undeveloped land,0
at://did:plc:wznrpi4wyqhcv5onowp3lmcs/app.bsky.feed.post/3lb4jxojiqe2k,drjeffmasters.bsky.social,2022-09-06,"Crops don’t like drought, extreme heat, extreme cold, flooding, and air pollution. I examine how climate change has affected these. Part 2 (tomorrow): The challenging future of agriculture (and some solutions) in a world with 2 billion more people by...",0
at://did:plc:jy4bcpx2i327ebeot2a4ovff/app.bsky.feed.post/3lb5aowonah2o,davewalshocean.bsky.social,2022-09-26,I just signed a petition to tell SMBC to #StopFundingFossils and reject financing for the East African Crude Oil Pipeline. Join me in pushing one of Japan’s biggest banks to stop fueling the #climatecrisis and harming communities and ecosystems. #StopEACOP...,0
at://did:plc:cbcnjcqkwvu57335dutljfck/app.bsky.feed.post/3lbbro3wfcu2v,organiccarbon.bsky.social,2022-08-14,"Wonderful article on No More Baby Sharks! Written by Bristol Children and curated by Melanie Ruth  https://www.bristol247.com/culture/books/bristol-children-write-book-on-climate-change/   Featuring messages from @BirdgirlUK, @_StephanieLKing, @millysibson,  @mvdct and...",0
at://did:plc:cbcnjcqkwvu57335dutljfck/app.bsky.feed.post/3lbbku3m7lc2x,organiccarbon.bsky.social,2022-10-28,So @bbcquestiontime does talk about climate change. By platforming notorious science-denying Julia Hartley-Brewer. The media is complicit in our demise.,0
